pID,pName,culture,adventure,wildlife,sightseeing,history,tags,province,latitude,longitude
193,Kalamasi,0,0.8,0,0.6,0,"dam-site, picnic spot, pond",3,4.84672799838702,114.952392027515
194,Nil Barahi Temple,0.6,0,0,0.6,0.8,"hindu, temple",3,27.700269,85.30180955
195,Gundu,0.6,0,0,0.6,0.6,"hiking, hill",3,10.3914635,12.0720827
196,Mahamanjushree Temple,0.8,0,0,0.8,0.8,"hill, temple, religious shrine",3,27.6910088,85.4912798
197,Uku Bahal,0.8,0,0,0.6,0.8,"buddhist, temple, monastery",3,,
198,Sundari Chowk,0.6,0,0,0.6,0.4,"statues, temple, pond",3,22.5543837734077,88.3720660841142
199,Bhimsen Temple,0.8,0,0,0.8,1,"temple, statues",3,27.6734699,85.4348104
200,Hari Shanker Temple,0.6,0,0,0.4,0.6,"hindu, temple, statues",3,,
201,Mahaboudha Temple,0.8,0,0,0.6,0.6,"temple, hindu, buddhist",3,,
202,Mangal Bazaar,0.6,0,0,0.6,0.4,"temple, statues, cultural",3,24.8647357,67.0456903527053
203,Rani pokhari,0.6,0,0,0.4,1,"pond, temple",3,27.70781555,85.3153470661323
204,Dhulikhel,0.6,0.8,0,0.6,0,"hill,hiking,trekking,picnic spot",3,27.61765575,85.5634955250345
205,Banepa ,0.6,0,0,0.6,0,"historical,hiking,trekking",3,27.64735905,85.5175083750119
206,Namo Buddha Monastery,0.8,0,0,0.6,0.8,"monsatery, buddhist",3,27.5712778,85.5827565
207,Dolalghat,0.6,0.8,0,0.8,0.8,"hiking,river,trekking",3,27.6415174,85.7086964
208,Sankhu,0.8,0,0,0.6,0.6,"temple, cultural, sculptures, statues",3,27.7290234,85.4613828
209,Budhanilkantha temple,1,0,0,0.8,1,"statues, temple, pond",3,27.74520325,85.347267573822
210,Hiledevi Temple,0.6,0,0,0.6,0.6,"temple, statues, hindu",3,,
211,Gaukhureshor Mahadev Temple,0.8,0,0,0.6,0.8,"hindu, temple, statues",3,,
212,Dhaaraapani (Dhungedhaaraa),0.6,0,0,0.4,0.8,"statues, temple, pond",3,,
213,Howaang Chhiring Monastery,0.6,0,0,0.4,0.8,"monastery, buddhist",3,,
214,Kyaama Monastery,0.6,0,0,0.4,0.6,"monsatery, buddhist",3,,
215,Dakshinkali,1,1,0,0.8,1,"pond, temple,religious shrine,hiking,cycling",3,27.6100965,85.266627
216,Guhyeshwari temple,0.8,0,0,0.4,0.6,"Religious Shrine, temple",3,,
217,Kandadevi,0.6,0,0,0.4,0.6,"temple,pond",3,,
218,Nagi gumba,0.6,0.8,0,0.6,0.6,"buddhist, temple,hiking",3,27.939991,85.655814
219,Panch Pokhari,0.2,0.4,0,0.6,0.6,"hindu,lake,trekking",3,27.9420757,82.7087424
220,Jatapokhari,0.2,0.4,0,0.4,0.4,"hindu,lake,trekking",3,,
221,Thodung Monastery,0.8,0.4,0,0.4,0.8,"buddhist,monastery",3,,
222,Gaurishankar ,0,1,0,0.6,0.6,"mountain, trekking",3,27.967351,86.3345048
223,Sundarijal,0,1,0,0.6,0.4,"Picnic spot,hiking,waterfall",3,27.758005,85.419189
224,Sindhuli gadhi,0.6,0.8,0,0.6,0.6,"fort, trekking,hiking",3,27.28483,85.9772611
225,Selfie hill,0,0.6,0,0.4,0.4,"hill, scenary",3,40.7078803,-73.831128
226,Bhadrakali Temple,0.8,0,0,0.4,0.6,"temple,hindu,statue",3,17.9948572,79.5828723803466
227,Kulekhani Dam ,0,0,0,0.4,0.6,"dam-site,  pond,lake",3,,
228,Kulekhani(Indra Sarovar)   ,0,0.8,0,0.6,0.8,"boat tour, lake",3,27.6086381,85.15479397
229,Chitlang VDC and Stupa of Chaitya Lhown(Ashoka Era),0.8,0,0,0.6,1,"statues, temple,hindu,buddhist",3,,
230,Jalbire Waterfall(Lamo Jharana),0,1,0,0.4,0.4,"waterfall, adventure",3,,
231,Devghat,0.6,0.4,0,0.4,0.4,"Religious, cultural, temples,river",3,27.8104986,84.3671013948344
232,Bishazari Tal,0.6,0.8,0,0.4,0.4,"pond,lake,adventure",3,27.61895,84.438857
233,Chitwan Tharu Village,0.8,0,0,0.6,0.4,"cultural, village",3,27.5796954,84.4715642
234,"Ranipokhari, chitwan",0.6,0.6,0,0.4,0,"pond,lake,adventure",3,27.632669,84.330563r
235,Shiraichuli Hill,0,0.6,0,0.6,0,"hills,trekking,rhododendron",3,,
236,Sanga,0.6,0.8,0,0.8,0.8,"statues, cultural, temples",3,-12.28824505,35.4763929424883
237,Amayangri Hill ,0.6,0.8,0,1,0,"hill, mountain, trekking, buddhist, stupa, natural beauty",3,,
238,"Tatopani, Sindhupalchowk",0.4,0.7,0,0.7,0.2,"river, pond, rafting, border",3,27.9448408,85.9490115
239,Bhotekoshi,0,0.8,0,0.6,0,"river, rafting",3,27.932976,85.9058163235391
240,Sunkoshi,0,0.8,0,0.6,0,"river, rafting",3,27.71060305,85.8091066244523
241,Helambu ,0.8,0,0,0.6,0.4,"Village, trekking ",3,28.00597815,85.5312949288924
242,Central Zoo,0,0.6,1,0.8,0,"zoo, wildlife ",3,27.6731847,85.3107900359373
243,Gorkha Durbar & Museum,0.6,0.2,0.6,1,1,"museum, palace, history, hills, hiking, hindu, temple, art",4,27.99875625,84.6244894883741
244,Manaslu Circuit Trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks",4,,
245,Manakamana Temple,1,0.6,0.4,1,0.4,"hindu, temple, hills, hiking, cable car",4,27.57429805,85.3675054058071
246,Larpak Village ,0.6,0.6,0.2,0.8,0.2,"village, trekking, hiking, hills, mountains",4,28.220168,84.797832
247,Bhimsen Park ,0.8,0,0,0.4,1,"park, history",4,28.0159467,84.6453962
248,Gorakhnath Temple ,1,0.2,0,0.8,0.8,"hindu, temple, hills, hiking, history",4,28.1545996,84.0965009
249,Annapurna Circuit Trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks",4,,
250,Tilicho Lake,0,0.6,0.6,1,0,"hiking, trekking, hills, mountains, lake",4,28.69154335,83.852852935215
251,Nar Phu Valley Trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks, village",4,,
252,Milarepa Cave,0.4,0.8,0,1,0.4,"buddhist, cave, landmarks, mountains, hills, hiking, trekking",4,28.6107377,84.4678624
253,Gangapurna Lake,0,0.6,0.6,1,0,"hiking, trekking, hills, mountains, lake",4,28.6634081,84.0170354290188
254,Braga Village,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks, village",4,45.6286735,10.8256178
255,Upper mustang trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks",4,,
256,Upper mustang tiji festival trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks",4,,
257,Upper Dolpo to Mustang trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks",4,,
258,Lo Manthang trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks",4,,
